"","draw","site_encoded","Intercept","slope"
"252",233,"5",3.24078538416413,0.0955415162107258
"253",566,"5",2.85584998963653,0.0883321873692503
"254",641,"5",2.95992075616815,0.0968614693546353
"255",658,"5",3.3506264317112,0.0867532769087725
"256",708,"5",3.23747306946557,0.0898237626701839
"257",794,"5",2.9186908251478,0.0985606571201223
"258",820,"5",2.66453960089078,0.0907355986473799
"259",865,"5",2.84217645072462,0.0899989068461815
"260",1008,"5",2.81097447321744,0.0908793823071363
"261",1106,"5",2.75619057636472,0.0949899771767091
"262",1118,"5",2.96821916128958,0.098323446466613
"263",1340,"5",2.5505928620315,0.0939248682876836
"264",1491,"5",2.71559628821277,0.0997376940085942
"265",1494,"5",2.72499722561383,0.0936407542703342
"266",1553,"5",2.90977242061155,0.0914111457435168
"267",1560,"5",3.02030201049769,0.0957154367450017
"268",1620,"5",3.05083003230483,0.0894491378854036
"269",1796,"5",2.42373027245938,0.0920031697467715
"270",1886,"5",2.79376962096219,0.0873460792637264
"271",1957,"5",2.87639975652898,0.0920863993536037
"272",1975,"5",2.92323545145772,0.090168493133585
"273",2083,"5",2.63164671281051,0.0990270425692074
"274",2113,"5",2.55834990300406,0.0865251750007325
"275",2160,"5",3.05578719513778,0.0839940015707899
"276",2397,"5",2.91110156406112,0.0991641252714504
"277",2447,"5",3.10081716289431,0.0884683129380945
"278",2487,"5",2.72592689181368,0.0991609142684594
"279",2543,"5",3.02133937520412,0.0931872614629213
"280",2587,"5",2.72842216097899,0.0925653856494788
"281",2610,"5",2.51070080599019,0.102426894564501
"282",2652,"5",3.69675146118289,0.0892819085200163
"283",2690,"5",3.10054614852846,0.100203358631818
"284",2717,"5",3.10768457849178,0.0982516837294757
"285",2721,"5",2.64586082628673,0.0964591060553993
"286",2750,"5",2.69344862685769,0.0999956532878475
"287",2784,"5",2.75270067256144,0.0920067663489805
"288",2790,"5",2.86097381245965,0.091411471083527
"289",2861,"5",2.63146116260365,0.0945978392189236
"290",3373,"5",3.10781158643793,0.0931300222493845
"291",3388,"5",3.0344708750351,0.0908240592491196
"292",3395,"5",2.77277318012299,0.0996185179204196
"293",3417,"5",3.00429364658666,0.0900621888904069
"294",3468,"5",2.45329731199431,0.0902902387317286
"295",3515,"5",3.20467954288464,0.0894566074618607
"296",3846,"5",2.95426132916535,0.0949715717802465
"297",3882,"5",3.10850663118236,0.0895219534039976
"298",3888,"5",2.32231294846213,0.0817335639038267
"299",3931,"5",2.68025256110296,0.0907785163297746
"300",3985,"5",2.91545930389951,0.0972147916099029
"301",174,"6",3.18298661404666,0.0871586803969249
"302",233,"6",3.16965706541529,0.0944467846485292
"303",566,"6",2.93790756365764,0.0963143539621028
"304",641,"6",3.17973040231694,0.0914618577555921
"305",658,"6",3.39151633703844,0.0975521931783561
"306",708,"6",3.12976699963676,0.0927255942626147
"307",794,"6",2.85879447540194,0.0918045843718852
"308",820,"6",2.6926349685579,0.0922388015915272
"309",865,"6",2.99146088049847,0.09572836532198
"310",1008,"6",2.5697081687131,0.0993668794673263
"311",1106,"6",2.76420622786867,0.0887677036019037
"312",1118,"6",2.91491521925608,0.099996544494231
